"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",1473,1413,1558,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2558
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",523,528,546,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1168
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",3348,3404,3951,5090,5213,6143,7670,7131,6601,7746,9083,9624,10988,11507
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",5898,5986,6483,6924,7337,7716,8017,8201,8165,8361,8493,9242,9936,10646
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",81.718,84.047,87.549,94.196,90.011,93.377,100.034,95.324,100.000,101.339,100.030,105.220,113.978,121.373
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",79.103,81.638,85.768,93.302,88.349,92.267,100.022,94.572,100.000,101.521,100.433,106.571,117.437,126.106
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",128.065,144.631,392.305,463.366,250.655,134.421,304.939,258.636,100.000,"(D)","(D)","(D)","(D)","(D)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",157.912,213.890,976.541,1177.849,537.777,153.015,670.876,563.123,100.000,1400.370,1118.756,509.301,1467.435,"(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities",112.450,111.059,118.885,127.443,121.266,127.363,125.395,109.698,100.000,"(D)","(D)","(D)","(D)","(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining",43.572,44.787,45.440,44.067,46.439,51.940,63.120,74.122,100.000,"(D)","(D)","(D)","(D)","(D)"
