"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services","(D)","(D)","(D)",257,264,"(D)",288,310,318,324,328,347,349,358
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",181,187,200,"(D)","(D)",233,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",222,244,252,283,294,298,304,288,289,314,"(D)","(D)",320,296
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",4329,4779,5301,5647,6304,6834,7426,8168,8582,9040,9451,9353,9145,9090
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",689,763,824,895,950,1043,1159,1292,1433,1524,1810,1851,1812,"(NA)"
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",2591,2933,3359,3531,4065,4391,4790,5278,5502,5826,5922,5833,5634,"(NA)"
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",1050,1083,1118,1221,1289,1400,1477,1599,1647,1690,1718,1668,1698,"(NA)"
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",59,18,"(D)","(D)",50,"(D)","(D)",66,60,"(D)",78,99,98,137
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",804,818,824,870,946,972,971,982,992,1051,1051,1106,1127,1135
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",269,"(D)",311,350,354,394,378,380,399,418,435,457,455,496
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",1830,1884,1814,1785,1886,1936,1934,1875,2163,2114,2126,2216,2371,2177
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",3553,3583,3835,4123,4556,4737,5042,5414,5679,5835,5781,5980,6012,5999
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",76.184,77.682,79.833,81.820,86.638,88.513,91.290,95.672,100.000,101.888,102.401,101.484,99.911,96.749
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",81.997,81.804,83.553,85.968,91.381,91.962,93.745,96.001,100.000,101.280,99.249,99.895,100.037,95.656
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",103.474,26.356,22.011,99.911,83.092,151.909,56.672,88.536,100.000,105.043,84.367,106.629,103.098,"(NA)"
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
